web-scraper-order,web-scraper-start-url,link,link-href,title,price,description,material,size,style,colour,colour2
"1573262114-4900","https://www2.hm.com/en_us/women/products/tops.html","Top with Lacing","https://www2.hm.com/en_us/productpage.0760806001.html","Top with Lacing","$17.99","Fitted top in ribbed cotton jersey. Opening at back with lacing and lace embroidery. Short sleeves with overlocked edges.","Cotton 95%, Elastane 5%","Short sleeve","STYLE
				
					Round Neck","Natural white","Natural white"
"1573262561-5042","https://www2.hm.com/en_us/women/products/tops.html","Tie-sleeve Linen Top","https://www2.hm.com/en_us/productpage.0708471006.html","Tie-sleeve Linen Top","$17.99","PREMIUM QUALITY. V-neck top in airy linen slub jersey. Short dolman sleeves with slit and ties. Straight-cut hem.","Linen 100%","Back: Length: 62.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					Dolman Sleeve
					V-neck","Beige","Beige"
"1573262731-5097","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0688558010.html","Ribbed Top","$12.99","Fitted top in soft, ribbed jersey with long sleeves.","Cotton 91%, Elastane 9%","Long sleeve","","Light gray melange","Light gray melange"
"1573263958-5466","https://www2.hm.com/en_us/women/products/tops.html","V-neck Jersey Top","https://www2.hm.com/en_us/productpage.0772773008.html","V-neck Jersey Top","$4.99","CONSCIOUS. Fitted top in soft, organic cotton jersey with a V-neck and short sleeves.","Cotton 95%, Elastane 5%","Short sleeve","STYLE
				
					V-neck","Plum red","Plum red"
"1573262343-4974","https://www2.hm.com/en_us/women/products/tops.html","Off-the-shoulder Top","https://www2.hm.com/en_us/productpage.0708394008.html","Off-the-shoulder Top","$14.99","Fitted, off-the-shoulder top in soft viscose-blend jersey with long sleeves. V-neck at front and back.","Viscose 90%, Elastane 10%","Long sleeve","STYLE
				
					Off-the-shoulder","Red/dark red/black","Red/leopard print"
"1573263169-5222","https://www2.hm.com/en_us/women/products/tops.html","Cotton T-shirt","https://www2.hm.com/en_us/productpage.0678342025.html","Cotton T-shirt","$5.99","Fitted T-shirt in soft cotton jersey. Slightly wider neckline with narrow ribbing.","Cotton 95%, Elastane 5%","Short sleeve","","Dusky pink/black/white","Dusky pink/black striped"
"1573260771-4499","https://www2.hm.com/en_us/women/products/tops.html","Top with Beaded Fringe","https://www2.hm.com/en_us/productpage.0782103001.html","Top with Beaded Fringe","$79.99","LIMITED EDITION. Straight-cut, double-layer top in airy, crêped fabric made from a viscose and chiffon blend with zigzag edges. Concealed zip at back, round neckline, and semi-attached, beaded fringe at top. Slightly longer at back.","Lining: Polyester 100%","Sleeveless","STYLE
				
					Round Neck","Light beige","Light beige"
"1573261870-4826","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0762762001.html","Ribbed Top","$12.99","Short-sleeved top in airy, ribbed jersey with a stand-up collar. Straight-cut hem.","Polyester 55%, Viscose 45%","Short sleeve","STYLE
				
					Stand-up Collar","Light khaki green","Light khaki green"
"1573261965-4854","https://www2.hm.com/en_us/women/products/tops.html","T-shirt with Printed Design","https://www2.hm.com/en_us/productpage.0766728011.html","T-shirt with Printed Design","$17.99","Straight-cut T-shirt in soft cotton jersey with a printed design. Dropped shoulders.","Cotton 100%","Short sleeve","STYLE
				
					Round Neck","Light purple/black","Light purple/Ariana Grande"
"1573262186-4924","https://www2.hm.com/en_us/women/products/tops.html","Oversized T-shirt","https://www2.hm.com/en_us/productpage.0735735006.html","Oversized T-shirt","$14.99","Oversized T-shirt in lightweight sweatshirt fabric with a round neckline and heavily dropped shoulders.","Cotton 85%, Polyester 15%","Short sleeve","STYLE
				
					Round Neck","Beige/white/black","Beige/white striped"
"1573263978-5472","https://www2.hm.com/en_us/women/products/tops.html","Pleated Top","https://www2.hm.com/en_us/productpage.0752945002.html","Pleated Top","$29.99","Top in soft, pleated jersey with a slight sheen. V-neck, sewn wrapover at front, and an elasticized seam at waist with a removable tie belt. Long balloon sleeves with covered elastication at cuffs.","Polyester 100%","Long sleeve","STYLE
				
					Balloon Sleeve
					Wrapover
					V-neck","Dark green","Dark green"
"1573263690-5386","https://www2.hm.com/en_us/women/products/tops.html","Jersey T-shirt","https://www2.hm.com/en_us/productpage.0717490017.html","Jersey T-shirt","$4.99","T-shirt in soft jersey made from a cotton and viscose blend.","Viscose 50%, Cotton 50%","Short sleeve","STYLE
				
					Round Neck","Powder pink/black","Powder pink/heart"
"1573262448-5007","https://www2.hm.com/en_us/women/products/tops.html","Short T-shirt","https://www2.hm.com/en_us/productpage.0753255002.html","Short T-shirt","$9.99","Short, wide-cut T-shirt in soft cotton jersey with a ribbed neckline and dropped shoulders.","Cotton 100%","Short","STYLE
				
					Round Neck","White/dark blue/red","White/color-block"
"1573262614-5059","https://www2.hm.com/en_us/women/products/tops.html","Off-the-shoulder Top","https://www2.hm.com/en_us/productpage.0837028002.html","Off-the-shoulder Top","$17.99","Fitted, off-the-shoulder top in ribbed, fine-knit fabric with wide lace trim at upper edge. Long sleeves.","Polyester 100%","Long sleeve","STYLE
				
					Off-the-shoulder","Dark red","Dark red"
"1573262211-4932","https://www2.hm.com/en_us/women/products/tops.html","V-neck Camisole Top","https://www2.hm.com/en_us/productpage.0712216005.html","V-neck Camisole Top","$14.99","Camisole top in woven fabric with a V-neck and extra-narrow shoulder straps.","Polyester 100%","Sleeveless","STYLE
				
					Camisole Top
					V-neck","Cream","Cream"
"1573261272-4650","https://www2.hm.com/en_us/women/products/tops.html","Short Top","https://www2.hm.com/en_us/productpage.0754769002.html","Short Top","$12.99","Short, double-layered sleeveless top in soft jersey. Sweetheart neckline, decorative knot at front, and seam below bust.","Polyester 68%, Viscose 29%, Elastane 3%","Short","STYLE
				
					Tank Top
					Crop Top
					Sweetheart Neckline","Natural white/dark gray","Natural white/striped"
"1573263782-5412","https://www2.hm.com/en_us/women/products/tops.html","V-neck Cotton T-shirt","https://www2.hm.com/en_us/productpage.0728162002.html","V-neck Cotton T-shirt","$5.99","V-neck T-shirt in cotton jersey with a rounded hem. Slightly longer at back.","Cotton 100%","Short sleeve","STYLE
				
					V-neck","White","White"
"1573261169-4622","https://www2.hm.com/en_us/women/products/tops.html","Tie-detail Top","https://www2.hm.com/en_us/productpage.0733027005.html","Tie-detail Top","$7.99","Short top in soft cotton jersey. Round neckline, short sleeves, and seam at hem with decorative knot detail at front.","Cotton 100%","Short","STYLE
				
					Round Neck","Dark beige/black","Dark beige/leopard print"
"1573261051-4586","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0762762002.html","Ribbed Top","$12.99","Short-sleeved top in airy, ribbed jersey with a stand-up collar. Straight-cut hem.","Polyester 55%, Viscose 45%","Short sleeve","STYLE
				
					Stand-up Collar","White","White"
"1573260792-4506","https://www2.hm.com/en_us/women/products/tops.html","Lyocell-blend Top","https://www2.hm.com/en_us/productpage.0749569002.html","Lyocell-blend Top","$39.99","CONSCIOUS. Sleeveless, flared top in airy, woven fabric made from a Tencel® lyocell blend. Adjustable, extra-narrow shoulder straps, gathered seam below bust, and concealed side zip. Satin lining.","Lyocell 75%, Polyamide 25%","Sleeveless","STYLE
				
					Camisole Top","Dark pink","Dark pink"
"1573261958-4852","https://www2.hm.com/en_us/women/products/tops.html","Linen Top","https://www2.hm.com/en_us/productpage.0617534025.html","Linen Top","$17.99","PREMIUM QUALITY. Short-sleeved top in linen jersey with a V-neck.","Linen 100%","Short sleeve","STYLE
				
					V-neck","Red","Red"
"1573263408-5299","https://www2.hm.com/en_us/women/products/tops.html","Airy Jersey Top","https://www2.hm.com/en_us/productpage.0767813002.html","Airy Jersey Top","$12.99","Long-sleeved top in airy viscose jersey with a V-neck.","Viscose 100%","Long sleeve","STYLE
				
					V-neck","White","White"
"1573260977-4563","https://www2.hm.com/en_us/women/products/tops.html","Smocked Off-the-shoulder Top","https://www2.hm.com/en_us/productpage.0738357001.html","Smocked Off-the-shoulder Top","$29.99","Short, off-the-shoulder top in crinkled fabric made from woven plumeti chiffon. Flounce at top, smocked bodice, and long, wide sleeves with elasticized cuffs.","Polyester 100%","Short","STYLE
				
					Smocking
					Off-the-shoulder","Dusky blue","Dusky blue"
"1573261135-4613","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0762928001.html","Ribbed Top","$17.99","V-neck top in ribbed jersey with a button placket.","Polyester 65%, Viscose 35%","Short sleeve","STYLE
				
					V-neck","Light beige","Light beige"
"1573262435-5003","https://www2.hm.com/en_us/women/products/tops.html","Slub Jersey T-shirt","https://www2.hm.com/en_us/productpage.0554598057.html","Slub Jersey T-shirt","$9.99","T-shirt in slub jersey made from a modal and cotton blend. Rounded hem.","Cotton 50%, Modal 50%","Short sleeve","","Black","Black"
"1573262728-5096","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Tank Top","https://www2.hm.com/en_us/productpage.0796870002.html","Ribbed Tank Top","$5.99","Fitted tank top in ribbed cotton jersey with a square neckline front and back.","Cotton 95%, Elastane 5%","Sleeveless","STYLE
				
					Camisole Top","White","White"
"1573261823-4811","https://www2.hm.com/en_us/women/products/tops.html","Jersey Top","https://www2.hm.com/en_us/productpage.0733749003.html","Jersey Top","$2.99","Short top in soft cotton jersey with concealed elastication at upper front.","Cotton 95%, Elastane 5%","Short","STYLE
				
					Strapless
					Tube Top","Red","Red"
"1573262261-4947","https://www2.hm.com/en_us/women/products/tops.html","Jersey T-shirt","https://www2.hm.com/en_us/productpage.0717490064.html","Jersey T-shirt","$4.99","T-shirt in soft jersey made from a cotton and viscose blend.","Viscose 50%, Cotton 50%","Short sleeve","STYLE
				
					Round Neck","Black/white","Black/Love"
"1573263472-5318","https://www2.hm.com/en_us/women/products/tops.html","2-pack V-neck Tops","https://www2.hm.com/en_us/productpage.0790051001.html","2-pack V-neck Tops","$17.99","CONSCIOUS. Fitted tops in soft, organic cotton jersey. V-neck and long sleeves.","Cotton 100%","Long sleeve","STYLE
				
					V-neck","Black/white","Black/white"
"1573262745-5101","https://www2.hm.com/en_us/women/products/tops.html","Lyocell T-shirt","https://www2.hm.com/en_us/productpage.0779909004.html","Lyocell T-shirt","$29.99","CONSCIOUS. T-shirt in airy, softly draped Tencel® lyocell jersey with a ribbed neckline.","Lyocell 100%","Short sleeve","STYLE
				
					Crew-neck","Bright red","Bright red"
"1573261734-4786","https://www2.hm.com/en_us/women/products/tops.html","Jersey T-shirt","https://www2.hm.com/en_us/productpage.0717490005.html","Jersey T-shirt","$4.99","T-shirt in soft jersey made from a cotton and viscose blend.","Viscose 50%, Cotton 50%","Short sleeve","STYLE
				
					Round Neck","White/black","White/dotted"
"1573263577-5352","https://www2.hm.com/en_us/women/products/tops.html","T-shirt with Motif","https://www2.hm.com/en_us/productpage.0762470052.html","T-shirt with Motif","$12.99","Jersey T-shirt with a printed motif.","Cotton 100%","Short sleeve","STYLE
				
					Round Neck","Dark gray/white/light pink","Dark gray/The Rolling Stones"
"1573262704-5089","https://www2.hm.com/en_us/women/products/tops.html","Fitted Jersey Top","https://www2.hm.com/en_us/productpage.0767925006.html","Fitted Jersey Top","$12.99","Fitted top in cotton jersey with a boat neckline and 3/4-length sleeves.","Cotton 95%, Elastane 5%","3/4 sleeve","STYLE
				
					Boat Neck","White/black","White/striped"
"1573262208-4931","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Tank Top","https://www2.hm.com/en_us/productpage.0775313002.html","Ribbed Tank Top","$12.99","Short tank top in ribbed jersey made from a viscose blend. Narrow shoulder straps.","Polyester 55%, Viscose 45%","Short","STYLE
				
					Camisole Top","Yellow","Yellow"
"1573262129-4905","https://www2.hm.com/en_us/women/products/tops.html","T-shirt","https://www2.hm.com/en_us/productpage.0717477003.html","T-shirt","$9.99","T-shirt in soft jersey with contrasting trim at neckline and cuffs.","Cotton 60%, Polyester 40%","Short sleeve","STYLE
				
					Round Neck","Dark mustard yellow/white","Dark mustard yellow"
"1573260623-4455","https://www2.hm.com/en_us/women/products/tops.html","Viscose Jersey Camisole Top","https://www2.hm.com/en_us/productpage.0646265001.html","Viscose Jersey Camisole Top","$17.99","Fitted top in soft viscose jersey with narrow shoulder straps.","Viscose 96%, Elastane 4%","null","STYLE
				
					Camisole Top","Black","Black"
"1573263394-5295","https://www2.hm.com/en_us/women/products/tops.html","Fine-knit Top","https://www2.hm.com/en_us/productpage.0574109023.html","Fine-knit Top","$17.99","Fitted, ribbed fine-knit top in jersey with long sleeves and a ribbed neckline.","Viscose 40%, Acrylic 40%, Polyamide 20%","Long sleeve","STYLE
				
					Round Neck","Black melange/black/powder pink","Black/pink striped"
"1573262734-5098","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0808305003.html","Ribbed Top","$17.99","Fitted top in ribbed jersey with a round neckline and long raglan sleeves.","Polyester 80%, Cotton 17%, Elastane 3%","Long sleeve","STYLE
				
					Raglan Sleeve
					Round Neck","Black","Black"
"1573262008-4866","https://www2.hm.com/en_us/women/products/tops.html","2-pack Cotton Tops","https://www2.hm.com/en_us/productpage.0790918001.html","2-pack Cotton Tops","$9.99","CONSCIOUS. Fitted tops in soft, organic cotton jersey. Wide neckline and short sleeves.","Cotton 100%","Short sleeve","STYLE
				
					Low-cut Neckline","Black/white","Black/white"
"1573263172-5223","https://www2.hm.com/en_us/women/products/tops.html","Fine-knit Top","https://www2.hm.com/en_us/productpage.0515042002.html","Fine-knit Top","$24.99","Long-sleeved, fine-knit top with a rounded hem. Longer at back.","Polyester 94%, Elastane 6%","Long sleeve","","Dark gray","Dark gray/striped"
"1573261486-4712","https://www2.hm.com/en_us/women/products/tops.html","Chiffon Top","https://www2.hm.com/en_us/productpage.0755851001.html","Chiffon Top","$29.99","Top in double layers of airy, crinkled chiffon. Narrow ruffle trim at upper edge, elastication at upper back, extra-narrow shoulder straps crossed at back, and decorative hole pattern at hem. Lined.","Polyester 100%","Sleeveless","","Light powder beige","Light powder beige"
"1573262701-5088","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0688558018.html","Ribbed Top","$12.99","Fitted top in soft, ribbed jersey with long sleeves.","Cotton 91%, Elastane 9%","Long sleeve","","Dark yellow/black/white","Dark yellow/striped"
"1573261399-4688","https://www2.hm.com/en_us/women/products/tops.html","Camisole Top with a Sheen","https://www2.hm.com/en_us/productpage.0730482002.html","Camisole Top with a Sheen","$19.99","Fitted camisole top in shiny stretch jersey with extra-narrow shoulder straps. Double layer at top.","Polyester 97%, Elastane 3%","Sleeveless","STYLE
				
					Camisole Top","Powder pink","Powder pink"
"1573261164-4621","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Jersey Top","https://www2.hm.com/en_us/productpage.0766453004.html","Ribbed Jersey Top","$12.99","Short-sleeved, fitted top in ribbed jersey.","Viscose 95%, Elastane 5%","Short sleeve","STYLE
				
					Round Neck","Cream","Cream"
"1573262769-5108","https://www2.hm.com/en_us/women/products/tops.html","Fine-knit Top","https://www2.hm.com/en_us/productpage.0764085003.html","Fine-knit Top","$17.99","Soft, fine-knit top with buttons on one shoulder, short sleeves, and rolled edges at neckline, cuffs, and hem.","Viscose 42%, Acrylic 42%, Polyamide 16%","Short sleeve","STYLE
				
					Round Neck","Mustard yellow","Mustard yellow"
"1573263949-5463","https://www2.hm.com/en_us/women/products/tops.html","Jersey T-shirt","https://www2.hm.com/en_us/productpage.0793378001.html","Jersey T-shirt","$17.99","Boxy T-shirt in soft fabric with gently dropped shoulders.","Polyester 95%, Elastane 5%","Short sleeve","STYLE
				
					Round Neck","Dark blue","Dark blue/metallic"
"1573262241-4941","https://www2.hm.com/en_us/women/products/tops.html","Jersey Top with Lace","https://www2.hm.com/en_us/productpage.0708499009.html","Jersey Top with Lace","$9.99","Sleeveless top in soft viscose jersey with lace section over shoulders. Wide neckline with gathers at front and back.","Lace: Polyester 100%","Sleeveless","STYLE
				
					Round Neck","Light powder beige","Light powder beige"
"1573261291-4655","https://www2.hm.com/en_us/women/products/tops.html","Top with Lace","https://www2.hm.com/en_us/productpage.0712853002.html","Top with Lace","$24.99","Straight-cut top in crêped jersey. Opening and button at back of neck, lace yoke, and short sleeves.","Lace: Polyester 100%","Short sleeve","","White","White"
"1573263906-5450","https://www2.hm.com/en_us/women/products/tops.html","One-shoulder Top","https://www2.hm.com/en_us/productpage.0823382001.html","One-shoulder Top","$14.99","Fitted, one-shoulder top in soft, patterned jersey with elastication at upper edge. One long sleeve.","Viscose 92%, Elastane 8%","Long sleeve","STYLE
				
					One-shoulder","Black","Black"
"1573261310-4661","https://www2.hm.com/en_us/women/products/tops.html","V-neck Jersey Top","https://www2.hm.com/en_us/productpage.0742359001.html","V-neck Jersey Top","$9.99","Seamless V-neck top in soft viscose jersey with a rounded hem and slits at sides.","Viscose 100%","Sleeveless","STYLE
				
					V-neck","Black","Black"
"1573263094-5199","https://www2.hm.com/en_us/women/products/tops.html","Silk-blend T-shirt","https://www2.hm.com/en_us/productpage.0774543002.html","Silk-blend T-shirt","$34.99","PREMIUM QUALITY. Fitted T-shirt in ribbed jersey made from a silk and viscose blend. Round neckline and short sleeves.","Silk 50%, Viscose 50%","Short sleeve","STYLE
				
					Round Neck","Natural white","Natural white"
"1573262106-4897","https://www2.hm.com/en_us/women/products/tops.html","Short-sleeved Jersey Top","https://www2.hm.com/en_us/productpage.0573282033.html","Short-sleeved Jersey Top","$9.99","CONSCIOUS. Fitted, short-sleeved top in organic cotton slub jersey. Round neckline and rounded hem.","Cotton 100%","Short sleeve","","Dark blue","Dark blue"
"1573261138-4614","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Tank Top","https://www2.hm.com/en_us/productpage.0742161002.html","Ribbed Tank Top","$32.99","Fitted top in soft ribbed fabric. V-neck, extra-narrow shoulder straps crossed at back, and straight-cut hem.","Viscose 81%, Polyamide 16%, Elastane 3%","Sleeveless","STYLE
				
					Camisole Top
					V-neck","Dark khaki green","Dark khaki green"
"1573261393-4686","https://www2.hm.com/en_us/women/products/tops.html","Boat-neck Top","https://www2.hm.com/en_us/productpage.0737040005.html","Boat-neck Top","$14.99","Straight-cut top in thick cotton jersey with a boat neckline and 3/4-length sleeves. Rounded hem.","Cotton 100%","3/4 sleeve","STYLE
				
					Boat Neck","Red/white","Red/white striped"
"1573263739-5401","https://www2.hm.com/en_us/women/products/tops.html","Draped Velour Bodysuit","https://www2.hm.com/en_us/productpage.0843545001.html","Draped Velour Bodysuit","$34.99","Long-sleeved bodysuit in soft velour. Low-cut V-neck at front with a knot detail for a draped effect, seam at waist, and lined gusset with snap fasteners.","Polyester 90%, Elastane 10%","Long sleeve","STYLE
				
					Draped
					V-neck","Light taupe","Light taupe"
"1573262572-5046","https://www2.hm.com/en_us/women/products/tops.html","T-shirt with Motif","https://www2.hm.com/en_us/productpage.0792499006.html","T-shirt with Motif","$12.99","T-shirt in cotton jersey with a printed motif.","Cotton 100%","Short sleeve","STYLE
				
					Round Neck","White","White"
"1573263636-5369","https://www2.hm.com/en_us/women/products/tops.html","Fine-knit Top","https://www2.hm.com/en_us/productpage.0574109026.html","Fine-knit Top","$17.99","Fitted, ribbed fine-knit top in jersey with long sleeves and a ribbed neckline.","Viscose 40%, Acrylic 40%, Polyamide 20%","Long sleeve","STYLE
				
					Round Neck","Light blue","Light blue"
"1573261880-4830","https://www2.hm.com/en_us/women/products/tops.html","Off-the-shoulder Top","https://www2.hm.com/en_us/productpage.0659832007.html","Off-the-shoulder Top","$12.99","Short, off-the-shoulder top in ribbed jersey with overlocked edges. Concealed silicone trim inside upper edge. Long sleeves.","Cotton 57%, Polyester 38%, Elastane 5%","Short","STYLE
				
					Off-the-shoulder","Red","Red"
"1573262429-5001","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Jersey Top","https://www2.hm.com/en_us/productpage.0826591001.html","Ribbed Jersey Top","$12.99","Fitted top in ribbed cotton jersey. V-neck with gathered elastication at front and narrow lace trim. Long sleeves with slight puff at shoulders.","Cotton 95%, Elastane 5%","Long sleeve","STYLE
				
					Puff Sleeve
					V-neck","White","White"
"1573263799-5417","https://www2.hm.com/en_us/women/products/tops.html","T-shirt with Motif","https://www2.hm.com/en_us/productpage.0762470071.html","T-shirt with Motif","$12.99","Jersey T-shirt with a printed motif.","Cotton 100%","Short sleeve","STYLE
				
					Round Neck","Dark gray/red/white","Dark gray/Minnie Mouse"
"1573262520-5028","https://www2.hm.com/en_us/women/products/tops.html","Short Camisole Top","https://www2.hm.com/en_us/productpage.0377277002.html","Short Camisole Top","$2.99","Short, fitted camisole top in jersey with narrow shoulder straps.","Cotton 95%, Elastane 5%","Short","STYLE
				
					Camisole Top
					Crop Top","Solid-color","White"
"1573263189-5227","https://www2.hm.com/en_us/women/products/tops.html","V-neck Top","https://www2.hm.com/en_us/productpage.0687270010.html","V-neck Top","$24.99","Fitted, long-sleeved top in a soft rib knit with a V-neck at front and back.","Viscose 44%, Acrylic 40%, Polyamide 16%","Long sleeve","STYLE
				
					V-neck","Khaki green","Khaki green"
"1573263104-5202","https://www2.hm.com/en_us/women/products/tops.html","T-shirt with Motif","https://www2.hm.com/en_us/productpage.0792499005.html","T-shirt with Motif","$12.99","T-shirt in cotton jersey with a printed motif.","Cotton 100%","Short sleeve","STYLE
				
					Round Neck","Black/pink/purple/green/beige","Black/Romeo & Juliet"
"1573262225-4936","https://www2.hm.com/en_us/women/products/tops.html","Top with V-neck Back","https://www2.hm.com/en_us/productpage.0800016002.html","Top with V-neck Back","$14.99","Long-sleeved jersey top. V-neck back with a knot detail at hem.","Polyester 95%, Elastane 5%","Long sleeve","STYLE
				
					Plunge Back
					V-neck","Dusky green","Dusky green"
"1573262633-5066","https://www2.hm.com/en_us/women/products/tops.html","V-neck Top","https://www2.hm.com/en_us/productpage.0687270001.html","V-neck Top","$24.99","Fitted, long-sleeved top in a soft rib knit with a V-neck at front and back.","Viscose 44%, Acrylic 40%, Polyamide 16%","Long sleeve","STYLE
				
					V-neck","Black","Black"
"1573260794-4507","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Jersey Bodysuit","https://www2.hm.com/en_us/productpage.0766201002.html","Ribbed Jersey Bodysuit","$17.99","Fitted bodysuit in soft, ribbed jersey. Straight-cut upper section in double layers, extra-narrow shoulder straps, and concealed snap fasteners at gusset.","Viscose 60%, Polyester 31%, Elastane 9%","Sleeveless","","Mustard yellow/white","Mustard yellow/striped"
"1573262559-5041","https://www2.hm.com/en_us/women/products/tops.html","Flounce-sleeved Top","https://www2.hm.com/en_us/productpage.0702623001.html","Flounce-sleeved Top","$17.99","V-neck top in woven fabric with short, flounced sleeves.","Polyester 100%","Sleeveless","STYLE
				
					Flounced Sleeve
					V-neck","White","White"
"1573262994-5172","https://www2.hm.com/en_us/women/products/tops.html","V-neck Jersey Top","https://www2.hm.com/en_us/productpage.0672598002.html","V-neck Jersey Top","$14.99","Long-sleeved top in airy viscose jersey with a V-neck.","Viscose 100%","Long sleeve","STYLE
				
					V-neck","White","White"
"1573263463-5315","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0837049001.html","Ribbed Top","$24.99","Rib-knit top with a soft, brushed finish. Long sleeves.","Viscose 53%, Polyester 44%, Elastane 3%","Long sleeve","STYLE
				
					Round Neck","Light beige melange","Light beige melange"
"1573263362-5285","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Tunic","https://www2.hm.com/en_us/productpage.0807281001.html","Ribbed Tunic","$29.99","Long tunic in ribbed jersey made from a cotton blend. Turtleneck, long sleeves, and slits at sides of hem.","Cotton 60%, Acrylic 40%","Long sleeve","STYLE
				
					Mock Turtleneck","Light beige melange","Light beige melange"
"1573261043-4583","https://www2.hm.com/en_us/women/products/tops.html","Short Jersey Top","https://www2.hm.com/en_us/productpage.0777430001.html","Short Jersey Top","$12.99","Short top in ribbed jersey with a V-neck, snap fasteners at front, and short sleeves.","Polyester 91%, Elastane 9%","Short","STYLE
				
					V-neck","White","White"
"1573260981-4564","https://www2.hm.com/en_us/women/products/tops.html","V-neck Top","https://www2.hm.com/en_us/productpage.0522398064.html","V-neck Top","$9.99","CONSCIOUS. V-neck top in airy jersey made from recycled polyester. Buttons at top, 3/4-length sleeves, and a rounded hem with slits at sides. Slightly longer at back.","Polyester 100%","3/4 sleeve","STYLE
				
					V-neck","Dark blue","Dark blue/patterned"
"1573260848-4524","https://www2.hm.com/en_us/women/products/tops.html","Short Top","https://www2.hm.com/en_us/productpage.0758170001.html","Short Top","$24.99","Short top in crinkled viscose fabric. Crocheted shoulder straps, crocheted trim at top and front, and buttons at front. Narrow, elasticized hem.","Viscose 100%","Short","","Light blue","Light blue"
"1573262819-5123","https://www2.hm.com/en_us/women/products/tops.html","2-pack Cotton-blend Tank Tops","https://www2.hm.com/en_us/productpage.0824999001.html","2-pack Cotton-blend Tank Tops","$9.99","CONSCIOUS. Fitted tank tops in soft jersey made from an organic cotton blend. Narrow shoulder straps.","Cotton 95%, Elastane 5%","Sleeveless","STYLE
				
					Camisole Top","Black/white","Black/white"
"1573263600-5358","https://www2.hm.com/en_us/women/products/tops.html","V-neck Cotton T-shirt","https://www2.hm.com/en_us/productpage.0728162005.html","V-neck Cotton T-shirt","$5.99","V-neck T-shirt in cotton jersey with a rounded hem. Slightly longer at back.","Polyester 65%, Cotton 35%","Short sleeve","STYLE
				
					V-neck","Dark gray melange","Dark gray melange"
"1573263879-5440","https://www2.hm.com/en_us/women/products/tops.html","Long Tank Top","https://www2.hm.com/en_us/productpage.0717464001.html","Long Tank Top","$4.99","Longer, fitted tank top in stretch cotton jersey. Adjustable shoulder straps.","Cotton 95%, Elastane 5%","Sleeveless","STYLE
				
					Camisole Top","Black","Black"
"1573262639-5068","https://www2.hm.com/en_us/women/products/tops.html","Sleeveless V-neck Top","https://www2.hm.com/en_us/productpage.0786307002.html","Sleeveless V-neck Top","$14.99","Sleeveless top in woven, crêped fabric with a V-neck front and back.","Viscose 100%","Sleeveless","STYLE
				
					Camisole Top
					V-neck","Dark beige/black","Dark beige/leopard print"
"1573262094-4894","https://www2.hm.com/en_us/women/products/tops.html","Chiffon Top","https://www2.hm.com/en_us/productpage.0751907005.html","Chiffon Top","$24.99","Double-layered, straight-cut top in airy chiffon with extra-narrow shoulder straps.","Polyester 100%","Sleeveless","","Coral red","Coral red"
"1573263606-5360","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Jersey Top","https://www2.hm.com/en_us/productpage.0784926003.html","Ribbed Jersey Top","$14.99","Fitted top in ribbed, stretch cotton jersey with a round neckline and long sleeves.","Cotton 95%, Elastane 5%","Long sleeve","STYLE
				
					Round Neck","Powder beige","Powder beige"
"1573263151-5216","https://www2.hm.com/en_us/women/products/tops.html","High-collared Velvet Top","https://www2.hm.com/en_us/productpage.0811793001.html","High-collared Velvet Top","$119.00","PREMIUM QUALITY. Long-sleeved top in soft, crinkled velvet made from a viscose and silk blend. High collar with overlocked edge and concealed zip at back with gathers at top. Straight, wide sleeves, slits at sides, and slightly longer hem at back.","Viscose 83%, Silk 17%","Shoulder: Width: 39.8 cm (Size 8) – cm = unitofmeasure","STYLE
				
					High Collar","Dark red","Dark red"
"1573263688-5385","https://www2.hm.com/en_us/women/products/tops.html","Jersey T-shirt","https://www2.hm.com/en_us/productpage.0717490008.html","Jersey T-shirt","$4.99","T-shirt in soft jersey made from a cotton and viscose blend.","Viscose 50%, Cotton 50%","Short sleeve","STYLE
				
					Round Neck","Pink","Pink"
