web-scraper-order,web-scraper-start-url,link,link-href,title,price,colour,description,material
"1573331974-12693","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH CONTRASTING COLLAR","https://www.zara.com/sg/en/top-with-contrasting-collar-p05584463.html","TOP WITH CONTRASTING COLLAR Details","S$ 45.90","Black","Long sleeve top with a matching high neck and gathers on the shoulders. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573336501-14065","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","null","","","","","",""
"1573332833-12940","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","FAUX LEATHER SKIRT","https://www.zara.com/sg/en/faux-leather-skirt-p02969243.html","FAUX LEATHER SKIRT Details","S$ 69.90","Black","Pleated mini skirt with an elastic waist and interior lining.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573335223-13640","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573337664-14379","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","PRINTED DRAPED TOP","https://www.zara.com/sg/en/printed-draped-top-p09006152.html","PRINTED DRAPED TOP Details","S$ 59.90","Black","V-neck crop top with long sleeves, ruched detail on the front and elastic on the back.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573338953-14794","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","null","","","","","",""
"1573331498-12579","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","FADED-EFFECT T-SHIRT WITH SLOGAN","https://www.zara.com/sg/en/faded-effect-t-shirt-with-slogan-p04424854.html","FADED-EFFECT T-SHIRT WITH SLOGAN Details","S$ 24.90","Grey","Short sleeve T-shirt with a round neckline and a slogan on the front.

Due to the dyeing process, the print on each T-shirt is unique and may differ from what is shown in the photo.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.","null"
"1573338996-14850","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH BOWS","https://www.zara.com/sg/en/dress-with-bows-p08342710.html","DRESS WITH BOWS Details","S$ 59.90","Oyster White","V-neck dress with short ruffled sleeves. Featuring a stretch waist detail with matching bows and a buttoned opening in the back. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341618-15566","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","HOUNDSTOOTH FROCK COAT","https://www.zara.com/sg/en/houndstooth-frock-coat-p07907605.html","HOUNDSTOOTH FROCK COAT Details","S$ 119.00","Ecru / Red","Long sleeve V-neck frock coat. Featuring front patch pockets and a double-breasted button-up front.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573334510-13434","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","LOOSE FIT CARGO TROUSERS","https://www.zara.com/sg/en/loose-fit-cargo-trousers-p07484226.html","LOOSE FIT CARGO TROUSERS Details","S$ 69.90","Light khaki","High-waist trousers with front pockets and side patch pockets. Featuring zipped elastic cuffs and metal hook, inside button and zip fly fastening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573335223-13683","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573339502-14964","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","EMBROIDERED DRESS WITH TASSELS","https://www.zara.com/sg/en/embroidered-dress-with-tassels-p05598030.html","EMBROIDERED DRESS WITH TASSELS Details","S$ 69.90","Maroon","Slot collar dress with V-neckline and adjustable cord. Featuring puff sleeves that reach below the elbow, contrast embroidery details and contrast tassels on the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341703-15590","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","FULL SLEEVE BLAZER","https://www.zara.com/sg/en/full-sleeve-blazer-p08171016.html","FULL SLEEVE BLAZER Details","S$ 139.00","Black","Long double-breasted blazer with a lapel collar and long sleeves puffed at the shoulders. Featuring front welt pockets, a belt with a lined buckle, a back vent and double-breasted fastening with lined buttons.

HEIGHT OF MODEL: 177 CM / 5′ 9″

JOIN LIFE
Care for fiber: at least 25% recycled polyester. 
Recycled polyester is made from recycled plastic bottles and consumes less water, less energy and fewer natural resources.","null"
"1573333743-13209","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","Z1975 RIPPED SKINNY JEANS","https://www.zara.com/sg/en/z1975-ripped-skinny-jeans-p05862191.html","Z1975 RIPPED SKINNY JEANS Details","S$ 59.90","Mid-blue","Mid waist jeans with a five-pocket design, ripped detailing on the front and turn-up hems. Front fastening with zip fly and gem button.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573335223-13675","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573342729-15917","https://www.zara.com/sg/en/woman-outerwear-l1184.html?v1=1281618","LONG CAPE WITH POCKETS","https://www.zara.com/sg/en/long-cape-with-pockets-p08315744.html","LONG CAPE WITH POCKETS Details","S$ 179.00","Mid-camel","Cape-style jacket in a wool blend. Featuring a round neckline, front welt pockets, side vents and front toggle fastener.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573333573-13166","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","Z1975 MOM FIT JEANS WITH CONTRAST POCKET","https://www.zara.com/sg/en/z1975-mom-fit-jeans-with-contrast-pocket-p01889163.html","Z1975 MOM FIT JEANS WITH CONTRAST POCKET Details","S$ 69.90","Mid-blue","Faded high waist jeans featuring a five-pocket design, contrast fabric appliqué on the pocket, frayed hems and zip fly and metal button fastening at the front. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573329902-12039","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","BASIC BLAZER","https://www.zara.com/sg/en/basic-blazer-p07647607.html","BASIC BLAZER Details","S$ 69.90","Bottle green","Blazer with a lapel collar and long sleeves. Featuring front flap pockets, a back vent and single-button fastening at the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573336501-14047","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","null","","","","","",""
"1573333593-13172","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","JEANS ZW PREMIUM NIGHT OUT HIGH WAIST SKINNY DEEP BLACK","https://www.zara.com/sg/en/jeans-zw-premium-night-out-high-waist-skinny-deep-black-p08246251.html","JEANS ZW PREMIUM NIGHT OUT HIGH WAIST SKINNY DEEP BLACK Details","S$ 69.90","Black","The Night Out High Waist Skinny in Deep Black.

High waist stretch jeans with darted detailing and metal zip fastening on the side.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341497-15530","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","null","","","","","",""
"1573329874-12030","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","FLARED TROUSERS","https://www.zara.com/sg/en/flared-trousers-p08043878.html","FLARED TROUSERS Details","S$ 69.90","Black","Mid waist flowing trousers with front pockets and rear welt pockets. Featuring flared hems and metal zip, inside button and hook fastening in the front. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573338899-14763","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","DRAPED CROP TOP","https://www.zara.com/sg/en/draped-crop-top-p08611116.html","DRAPED CROP TOP Details","S$ 89.90","Ecru","Open shoulder V-neck top. Featuring an elasticated back detail, front appliqué and matching hem, and invisible side zip fastening.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573341599-15561","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","FAUX SUEDE BLAZER","https://www.zara.com/sg/en/faux-suede-blazer-p03046033.html","FAUX SUEDE BLAZER Details","S$ 69.90","Black","Long sleeve blazer with a wide lapel collar. Featuring side in-seam pockets and an adjustable stretch drawstring waist. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573342223-15747","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","COMBINED FAUX SHEARLING JACKET","https://www.zara.com/sg/en/combined-faux-shearling-jacket-p03305251.html","COMBINED FAUX SHEARLING JACKET Details","S$ 119.00","Ecru","Oversized long sleeve jacket with a classic collar. Featuring front patch pockets with flaps, matching trims and front button fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573341313-15468","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","POLKA DOT SATIN DRESS","https://www.zara.com/sg/en/polka-dot-satin-dress-p08342308.html","POLKA DOT SATIN DRESS Details","S$ 69.90","Fuchsia","Short dress featuring a surplice neckline, long sleeves with elastic trim, front gathering, lining and invisible back zip fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573336919-14190","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","GLOSSY BLOUSE","https://www.zara.com/sg/en/glossy-blouse-p03564075.html","GLOSSY BLOUSE Details","S$ 45.90","beige-pink","Sleeveless contrast fabric blouse with a high neck, pleats and an opening in the back that fastens with lined buttons.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573334467-13421","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","KNIT LEGGINGS","https://www.zara.com/sg/en/knit-leggings-p02142012.html","KNIT LEGGINGS Details","S$ 49.90","Black","Knit leggings with an elastic waistband.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573335987-13912","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","RIBBED MIDI DRESS","https://www.zara.com/sg/en/ribbed-midi-dress-p02298104.html","RIBBED MIDI DRESS Details","S$ 69.90","Black","Knit dress with a high neck and long puff sleeves.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573330620-12297","https://www.zara.com/sg/en/woman-sweatshirts-l1320.html?v1=1281548","SWEATSHIRT WITH FRONT SLOGAN","https://www.zara.com/sg/en/sweatshirt-with-front-slogan-p04174855.html","SWEATSHIRT WITH FRONT SLOGAN Details","S$ 29.90","Ecru","Long sleeve sweatshirt with a round neckline. Featuring ribbed trims and a slogan on the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: At least 50% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.","null"
"1573330653-12307","https://www.zara.com/sg/en/woman-sweatshirts-l1320.html?v1=1281548","SOFT-TOUCH STRIPED SWEATSHIRT","https://www.zara.com/sg/en/soft-touch-striped-sweatshirt-p05039943.html","SOFT-TOUCH STRIPED SWEATSHIRT Details","S$ 45.90","Black / White","Loose-fitting sweatshirt with a round neckline and long sleeves. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573337921-14454","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","OVERSIZED SHIRT WITH POCKET","https://www.zara.com/sg/en/oversized-shirt-with-pocket-p00003127.html","OVERSIZED SHIRT WITH POCKET Details","S$ 49.90","Black","Oversized long sleeve shirt with a round collar. Featuring an asymmetric hem and a button-up front.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573338550-14645","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","FRILLED POPLIN BLOUSE","https://www.zara.com/sg/en/frilled-poplin-blouse-p08531201.html","FRILLED POPLIN BLOUSE Details","S$ 59.90","White","Blouse featuring a high neck, long sleeves with elastic cuffs, tucks on the front, ruffle trims in the same fabric and a button-up front. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573334448-13416","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","STRAIGHT FIT COTTON TROUSERS","https://www.zara.com/sg/en/straight-fit-cotton-trousers-p06164166.html","STRAIGHT FIT COTTON TROUSERS Details","S$ 69.90","Mustard","High waist trousers with an elastic waist. Featuring front pockets, side patch pockets and metal button fastening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573336501-14070","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","null","","","","","",""
"1573335223-13695","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573334716-13491","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","PLEATED TROUSERS","https://www.zara.com/sg/en/pleated-trousers-p08372241.html","PLEATED TROUSERS Details","S$ 69.90","Camel","High waist trousers with in-seam side pockets, false rear welt pockets and turn-up hems. Fastening with metal hook, inside button and zip fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573341975-15683","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","CROPPED SATIN-FINISH BOMBER JACKET","https://www.zara.com/sg/en/cropped-satin-finish-bomber-jacket-p04341230.html","CROPPED SATIN-FINISH BOMBER JACKET Details","S$ 119.00","Bronze","Cropped bomber jacket with a round neck, long sleeves with ribbed trims, front zip pockets and a metal zip-up front.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573330485-12259","https://www.zara.com/sg/en/woman-sweatshirts-l1320.html?v1=1281548","POUCH POCKET JACKET","https://www.zara.com/sg/en/pouch-pocket-jacket-p02753227.html","POUCH POCKET JACKET Details","S$ 89.90","Khaki","Collared long sleeve jacket. Featuring a front pouch pocket and metal zip fastening at the front.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573340978-15367","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","MIDI DRESS WITH SEAM DETAIL","https://www.zara.com/sg/en/midi-dress-with-seam-detail-p08717840.html","MIDI DRESS WITH SEAM DETAIL Details","S$ 89.90","Black","Flowing A-line midi dress with a high neck and long sleeves. Featuring a gathered detail on the front and invisible back zip fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573335005-13572","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","FAUX LEATHER TROUSERS","https://www.zara.com/sg/en/faux-leather-trousers-p08712039.html","FAUX LEATHER TROUSERS Details","S$ 49.90","Black","High-waist trousers with side pockets, false welt back pockets, front dart detailing, a zip fly and a top button fastening. 

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573333087-13016","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","FAUX LEATHER MINI SKIRT WITH BELT","https://www.zara.com/sg/en/faux-leather-mini-skirt-with-belt-p05427250.html","FAUX LEATHER MINI SKIRT WITH BELT Details","S$ 49.90","Dark green","High waist mini skirt with an elastic waistband, side pockets, a belt in the same fabric with covered buckle and zip fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″

JOIN LIFE
Care for planet: More sustainable PU. 
More sustainable polyurethane is made using a new technology that helps us protect the environment.","null"
"1573338565-14649","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","FLORAL PRINT TOP","https://www.zara.com/sg/en/floral-print-top-p08170179.html","FLORAL PRINT TOP Details","S$ 59.90","Multicoloured","Semi-sheer top featuring a high neck, sleeves that reach below the elbow with elastic cuffs, an elastic waist and tied opening on the front. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573342122-15720","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","CONTRAST HOODED JACKET","https://www.zara.com/sg/en/contrast-hooded-jacket-p06318236.html","CONTRAST HOODED JACKET Details","S$ 89.90","Beige","High neck jacket with an adjustable hood with contrast lining. Featuring long sleeves with elastic cuffs, front welt pockets, an asymmetric hem and a zip-up front hidden by a snap-button placket. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573329854-12023","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","SEQUIN BLAZER","https://www.zara.com/sg/en/sequin-blazer-p07765051.html","SEQUIN BLAZER Details","S$ 179.00","Red","Blazer with a lapel collar and long sleeves. Featuring front welt pockets, a back vent and front fastening with a single covered button. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573329749-11993","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","null","","","","","",""
"1573337790-14414","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","SHIRT WITH POCKET","https://www.zara.com/sg/en/shirt-with-pocket-p08351221.html","SHIRT WITH POCKET Details","S$ 59.90","beige-pink","Flowing collared shirt with long sleeves, a patch pocket on the chest and an asymmetric hem. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573337352-14302","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","FLORAL PRINT BLOUSE","https://www.zara.com/sg/en/floral-print-blouse-p07880063.html","FLORAL PRINT BLOUSE Details","null","Black","Flowing blouse with a V-neckline and long sleeves. Featuring gathering on the front and on the shoulders, an asymmetric hem and snap-button fastening on the front.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573340546-15246","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","LONG DRESS WITH RUFFLES","https://www.zara.com/sg/en/long-dress-with-ruffles-p07563270.html","LONG DRESS WITH RUFFLES Details","S$ 139.00","Purple","Dress with a high neck and long sleeves. Featuring ruffle trims and front fastening with matching covered buttons.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573338797-14728","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","SATIN BLOUSE WITH TIED BOW DETAIL","https://www.zara.com/sg/en/satin-blouse-with-tied-bow-detail-p04437274.html","SATIN BLOUSE WITH TIED BOW DETAIL Details","S$ 69.90","Black","Blouse featuring a high neck with tied detail, long sleeves and front fastening with covered buttons. 

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573335223-13708","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573339956-15087","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","ANIMAL PRINT MINI DRESS","https://www.zara.com/sg/en/animal-print-mini-dress-p08253228.html","ANIMAL PRINT MINI DRESS Details","S$ 69.90","Ecru / Black","Flowing short dress with a round neckline and long sleeves. Featuring a gathered seam detail, matching ruffle trim and button fastening at the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573336501-14084","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","null","","","","","",""
"1573335926-13896","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","SOFT TOUCH PRINTED SWEATER","https://www.zara.com/sg/en/soft-touch-printed-sweater-p09598125.html","SOFT TOUCH PRINTED SWEATER Details","S$ 59.90","Burgundy","Knit sweater with a round neckline and long sleeves. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573336522-14096","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","GATHERED BLOUSE WITH POCKETS","https://www.zara.com/sg/en/gathered-blouse-with-pockets-p04043242.html","GATHERED BLOUSE WITH POCKETS Details","S$ 69.90","Dark blue","Loose-fitting blouse with a lapel collar. Featuring a V-neckline, long full sleeves, an adjustable drawstring waist, front patch pockets and contrast buttons down the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573332524-12855","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","ANIMAL PRINT BERMUDA SHORTS","https://www.zara.com/sg/en/animal-print-bermuda-shorts-p05899180.html","ANIMAL PRINT BERMUDA SHORTS Details","S$ 49.90","Leopard","Mid waist bermuda skort with a decorative front zip pocket and back patch pockets. Featuring a wrap front with metal button and hidden zip.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573332681-12899","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","ACCORDION PLEAT SKIRT","https://www.zara.com/sg/en/accordion-pleat-skirt-p08372235.html","ACCORDION PLEAT SKIRT Details","S$ 69.90","Burgundy","Pleated skirt with an elastic waistband and tie in the front. Featuring Bermuda-style interior lining and matching snap-button fastening in the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573331741-12637","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH DOTTED MESH DETAIL","https://www.zara.com/sg/en/t-shirt-with-dotted-mesh-detail-p01971804.html","T-SHIRT WITH DOTTED MESH DETAIL Details","S$ 24.90","Black","T-shirt with a round neckline, short sleeves and dotted mesh trim on the neckline and sleeves.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573335973-13908","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","CROPPED SWEATER WITH RUFFLES","https://www.zara.com/sg/en/cropped-sweater-with-ruffles-p09325100.html","CROPPED SWEATER WITH RUFFLES Details","S$ 59.90","Blue","Cropped knit sweater featuring a round neckline, long sleeves and ruffle trims.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573342388-15795","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","CHECK OVERSHIRT","https://www.zara.com/sg/en/check-overshirt-p06318224.html","CHECK OVERSHIRT Details","S$ 89.90","Red / Black","Collared overshirt with long sleeves. Featuring patch pockets with flaps and welt pockets on the front and metal button-up fastening in the front.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573332673-12897","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","PLEATED MINI SKIRT","https://www.zara.com/sg/en/pleated-mini-skirt-p08091702.html","PLEATED MINI SKIRT Details","S$ 59.90","Black","Short skirt in pleated fabric with an adjustable drawstring waistband.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573332160-12745","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","RIBBED TOP WITH SLITS","https://www.zara.com/sg/en/ribbed-top-with-slits-p00264683.html","RIBBED TOP WITH SLITS Details","S$ 39.90","Blue","Long sleeve top with a high neck and side slits. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573335949-13902","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","BUTTONED KNIT WAISTCOAT","https://www.zara.com/sg/en/buttoned-knit-waistcoat-p06254105.html","BUTTONED KNIT WAISTCOAT Details","S$ 69.90","Black","Sleeveless double-breasted knit waistcoat with metal buttons and a lapel collar.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573329891-12036","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","SKINNY TROUSERS","https://www.zara.com/sg/en/skinny-trousers-p08073553.html","SKINNY TROUSERS Details","S$ 45.90","Petrol blue","Mid-waist trousers with front pockets and false double welt back pockets. Featuring side vents at the hems and metal hook, inside button and zip fastening in the front.

HEIGHT OF MODEL: 177 CM / 5′ 9″

JOIN LIFE
Care for fibre: At least 50% recycled polyester.
Recycled polyester is made from recycled plastic bottles and consumes less water, less energy and fewer natural resources.","null"
"1573335183-13629","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","CHECK TROUSERS WITH TURN-UP HEMS","https://www.zara.com/sg/en/check-trousers-with-turn-up-hems-p08647672.html","CHECK TROUSERS WITH TURN-UP HEMS Details","S$ 59.90","Black / Ecru","High waist trousers with an elastic waistband, side pockets and turn-up hems. 

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573331218-12503","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","BASIC CROPPED T-SHIRT","https://www.zara.com/sg/en/basic-cropped-t-shirt-p04424304.html","BASIC CROPPED T-SHIRT Details","S$ 14.90","White","Short sleeve T-shirt with a round neckline. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573333508-13149","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","ZW PREMIUM RAY PLEATED HIGH WAIST DUSTY ROSE JEANS","https://www.zara.com/sg/en/zw-premium-ray-pleated-high-waist-dusty-rose-jeans-p09632248.html","ZW PREMIUM RAY PLEATED HIGH WAIST DUSTY ROSE JEANS Details","S$ 89.90","Chalk pink","The Ray Pleated High Waist in Dusty Rose. 

Faded high-waist jeans with front pockets and patch back pockets. Featuring a darted front, a straight-leg design, belt appliqué in matching fabric with a metal buckle, and zip fly and top button fastening. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573332593-12874","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","PAPERBAG SHORTS WITH BELT","https://www.zara.com/sg/en/paperbag-shorts-with-belt-p04406153.html","PAPERBAG SHORTS WITH BELT Details","S$ 49.90","Light blue","High waist shorts with pleats at the waist. Featuring front and back patch pockets, a contrast belt and button fastening in the front.

MODEL HEIGHT: 177 CM","null"
"1573340514-15238","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","MINI DRESS WITH PRINT","https://www.zara.com/sg/en/mini-dress-with-print-p04886270.html","MINI DRESS WITH PRINT Details","S$ 69.90","Black","Round neck dress featuring long sleeves with elastic cuffs, a gathered seam detail at the waist and button fastening at the back with an opening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573338434-14608","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","SATIN-FINISH CONTRAST TOP","https://www.zara.com/sg/en/satin-finish-contrast-top-p00085465.html","SATIN-FINISH CONTRAST TOP Details","S$ 59.90","Black","High neck top with long sleeves and slits on the cuffs. Matching satin-finish fabric detail. Button fastening at the back with an opening. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573341243-15444","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH FRONT KNOT","https://www.zara.com/sg/en/dress-with-front-knot-p08636422.html","DRESS WITH FRONT KNOT Details","S$ 179.00","Black","Midi dress with a round neckline and long sleeves. Featuring a tie detail on the front and invisible back zip fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573330936-12431","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH FRONT EMBROIDERY","https://www.zara.com/sg/en/t-shirt-with-front-embroidery-p05580456.html","T-SHIRT WITH FRONT EMBROIDERY Details","S$ 39.90","White","Short sleeve T-shirt with a round neckline. Featuring a contrast embroidery on the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573337960-14465","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","LINEN BLOUSE WITH BUTTONS","https://www.zara.com/sg/en/linen-blouse-with-buttons-p04437242.html","LINEN BLOUSE WITH BUTTONS Details","S$ 69.90","Grey","V-neck blouse with sleeves falling below the elbow and turn-up cuffs. Featuring a seam with gathering and front button fastening. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573335174-13626","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","MASCULINE SASH BELT TROUSERS","https://www.zara.com/sg/en/masculine-sash-belt-trousers-p08768808.html","MASCULINE SASH BELT TROUSERS Details","S$ 89.90","Black","Mid-waist trousers with front pockets and welt back pockets. Featuring a satin-finish sash-style belt detail with a bow. Metal hook, inside button and zip front fastening.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573342489-15850","https://www.zara.com/sg/en/woman-outerwear-l1184.html?v1=1281618","HOUNDSTOOTH PRINT COAT","https://www.zara.com/sg/en/houndstooth-print-coat-p08083114.html","HOUNDSTOOTH PRINT COAT Details","S$ 199.00","Ecru / Black","Oversized long sleeve coat with a lapel collar. Featuring front welt pockets, a back vent and button fastening at the front. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
