,brand,title,price,description,colour,material
2187,ZALORA BASICS,Basic V Neck Knitwear Top,S$ 24.90,"- Solid toned knitted top
- V neckline
- Unlined
- Regular fit
- Polyblend",Forest,72% Polyester 28% Nylon
2188,Mango,Camp-Collar Cardigan,S$ 59.90,"- Solid shade longline ribbed knit cardigan
- Sizing runs one size larger
- Open neckline
- Unlined
- Relaxed fit
- Acrylic blend",Dark Green,"61% Acrylic, 26% Polyester, 13% Polyamide"
2189,DeFacto,DeFacto Woman Pullover,S$ 34.90,"DeFacto Woman Pullover
Gender: Female SubCatType: Cardigans & Knitwear Leather Type: Acrylic 100% Gender: Women Material: Acrylic 100% Main Material: Acrylic 100% Interior Material: Interior Material",Red,[]
2190,Zaryluq,Curve Waterfall Lapel Cardigan In Blue Latte,S$ 65.00,- Outerwear- Lapel waterfall feature- Features a long tail- Zaryluq charm on the right side of sleeve wrist,Blue Latte,High End Crepe
2191,Mango,Open Work-Detail Sweater,S$ 59.90,"- Solid tone knit textured openwork sweater
- Sizing runs one size larger
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Acrylic blend",Light Beige,"53% Acrylic, 30% Polyester, 15% Polyamide, 2% Elastane"
2192,Dorothy Perkins,Blush Lurex Cut Out Jumper,S$ 63.90,"- Solid tone pullover with cut out detail 
- Keyhole neckline
- Regular fit
- Viscose blend",Peach,"41% Viscose, 39% Polyester, 12% Polyamide, 8% Metallised fibre"
2193,WAREHOUSE,Rainbow Stripe Funnel Jumper,S$ 119.00,"- Stripe print textured jumper
- Round neckline
- Unlined
- Regular fit
- Slip on style
- Cotton blend
- Model wears a UK 8 and is 177cm tall",Navy,"60% Cotton, 40% Viscose"
2194,NAIN,Turtleneck Oversize Bell Sleeve Knitwear,S$ 76.90,"- Solid tone oversized knitted jumper
- Turtleneck
- Relaxed fit
- Slip on style
- Acrylic",Beige,100% Acrylic
2195,Tularosa,Canary Sweater(Revolve),S$ 225.00,"47% acrylic 21% cotton 18% poly 7% nylon 6% wool 1% spandex
Hand wash cold
Rib knit fabric
Imported",Gray,[]
2196,Desigual,Barbaro Poncho,S$ 169.00,"- Two tone print poncho with fringe detail
- Acrylic blend
- Fringe hem
- Dimensions: L132cm x W78cm",2000 Negro,[]
2197,Lovers + Friends,Cisco Sweater(Revolve),S$ 268.00,"39% acrylic 30% nylon 20% wool 10% alpaca 1% spandex
Hand wash cold
Foldover neckline
Knit fabric
Imported",Tan,[]
2198,Desigual,Edmonton Cardigan,S$ 144.00,"- Printed cardigan with fringe detail
- Waterfall lapels
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Viscose blend
- Model wears a size 38 and is 175cm tall",Ducados,"87% Viscose, 13% Polyamide"
2199,JACQUELINE DE YONG,Whisper Long Sleeve Pullover,S$ 39.00,"- Stripe sleeves detail knitted sweater
- Round neckline
- Regular fit
- Acrylic blend
- Model wears an S and is 173cm tall",Peacoat,"76% Acrylic, 21% Nylon, 3% Elastane"
2200,A-IN GIRLS,Fashion Trumpet Sleeve Half-Neck Sweater,S$ 261.45,"[Elements Of Design] Bright Silk Splicing Stand Collar / Horn Long Sleeve / Cuffs Bright Silk Stitching / Ribbed Hem / Elastic / Lining (**The Chinese Version Shall Prevail)

【設計物語】純色針織衫表達了一種簡約之美，柔軟細膩的質感裡顯得溫暖又貼心，領口亮絲拼接煥發了視覺吸引力貼合身體曲線的廓形，穿著顯瘦一件針織衫可以帶來穿搭靈感",red,"51.5% Acrylic, 39.1 Nylon, 9.4% Sheep Wool"
2201,Pieces,Esther Long Sleeve Knit Cardigan,S$ 69.00,"- Solid tone knit textured cardigan
- V neckline
- Unlined
- Regular fit
- Button fastening
- Acrylic blend
- Model wears an S and is 175cm tall",Forest Night/,[]
2202,L'Academie,Kamala Wrap Sweater(Revolve),S$ 240.00,"44% rayon 41% nylon 15% poly
Hand wash cold
Rib knit fabric
Surplice front with wraparound tie detail
Puff sleeves
Imported",Cream,[]
2203,Miss Selfridge,PETITE CREAM POINTELLE SWEATER,S$ 59.90,"- Solid tone slim fit sweater
- Unlined
- Scoop neckline
- Slim fit
- Acrylic
- Model wears a UK 8 and is 174cm tall",CREAM,100% Acrylic
2204,NBD,Alter Ego Sweater(Revolve),S$ 197.00,"45% nylon 35% viscose 20% lurex
Hand wash cold
Metallic threading throughout
Imported",Purple,[]
2205,Zalia,Color Block Tunic,S$ 32.90,"- Two tone long sleeves knitted top
- Slip-on
- High neckline
- Regular fit
- Polyester",Light Brown/Maroon,100% Polyester
2206,Vero Moda,Agoura Horn Long Sleeve Pullover,S$ 69.00,"- Tort button detail knit jumper
- High neckline
- Unlined
- Regular fit
- Shoulder button fastening
- Acrylic blend
- Model wears an S and is 173cm tall",Light Grey Melange,"49% Acrylic, 26% Wool, 22% Polyester, 3% Elastane"
2207,Junarose,Plus Size Jane 3/4 Sleeve Knit Cardigan,S$ 89.00,"- Melange longline cardigan
- V neckline
- Unlined
- Longline fit
- Button fastening
- Viscose blend
- Model wears a size 46 and is 170cm tall",Grey,50% Viscose 45% Polyester 5% Elastane
2208,A-IN GIRLS,Fashion V-Neck Print Sweater,S$ 190.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",yellow,100% cotton
2209,Dorothy Perkins,Khaki Button Cuff Crew Neck Jumper,S$ 49.90,"- Solid tone jumper with elasticised hem
- Round neckline
- Regular fit
- Slip on style
- Viscose blend
- Model wears a UK 8 and is 172cm tall",Green,"81% Viscose, 19% Nylon"
2210,ONLY,Brielle Long Sleeve Pullover,S$ 59.00,"- Multicolour knitted sweater
- Round neckline
- Regular fit
- Acrylic blend
- Model wears an S and is 173cm tall",Ginger Root,[]
2211,Violeta by MANGO,Mixed Cotton Sweatshirt,S$ 89.90,"- Faux layered woven sweatshirt
- Round neckline
- Regular fit
- Slip on style
- Polyester blend",Grey,"80% Polyester, 18% Cotton, 2% Elastane"
2212,LPA,Dill Sweater(Revolve),S$ 225.00,"56% nylon 26% cotton 18% acrylic
Hand wash cold
Fuzzy knit fabric
Extended sleeves
Padded shoulders
Imported",Yellow,[]
2213,Yans Creation,Anara Long Tie Waist Cardigan With Palazzo Set,S$ 90.90,"Top
- Wraparound cardigan with allover floral print
- V neckline
- Regular fit
- Self tie waist closure
- Viscose

Bottom
- Pants with allover floral print
- High rise
- Regular fit
- Elasticised waistband
- Viscose
- Model wears an S and is 174cm tall",Light pink,Viscose
2214,ZALORA BASICS,Basic Batwing Long Cardigan,S$ 29.90,"- Solid-colored longline cardigan
- Open-front neckline
- Regular fit
- Slip-on style
- Long batwing sleeves
- Polyester blend",Black,95% Polyester 5% Spandex
2215,ZALORA BASICS,Basic Colour Block Knitted Jumper,S$ 29.90,"- Color-blocked cable knit jumper
- Round neckline
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Polyester",Cream/Navy,100% Polyester
2216,Zaryluq,Sahara Long Luxurious Outer,S$ 99.00,- Full-length cardigan - Prints of the Sahara are of golden palm leaves on black- Features intricate gold trimmings on the hem of its sleeve- Lining underneath the outer for comfort,Sahara Print,Lush Satin
2217,[],[],[],[],[],[]
2218,Mango,Openwork Knit Sweater,S$ 79.90,"- Solid tone openwork knit sweater
- Sizing runs one size larger
- Round neckline
- Unlined
- Regular fit
- Slip on style
- Recycled polyblend",Light Pastel Pink,"51% Recycled Polyester, 49% Cellulose"
2219,DeFacto,DeFacto Woman Cardigan,S$ 40.90,"DeFacto Woman Cardigan
Gender: Female SubCatType: Cardigans & Knitwear Main Material: Polyester 20%, Acrylic 80% Inner Material: Without Material Leather Type: Polyester 20%, Acrylic 80% Gender: Women Material: Polyester 20%, Acrylic 80%",Ecru,[]
2220,FORCAST,Donna Fluffy Leopard Sweater,S$ 69.99,"- Fluffy leopard print knitted sweater
- Crew neckline
- Unlined
- Boxy fit
- Slip on
- Nylon blend
- Model wears an S and is 175cm tall",Red,"62% Nylon, 24% Viscose, 14% Polyester"
2221,Dorothy Perkins,Black Cut Out Jumper,S$ 59.90,"- Solid tone knitted top with cut out detail
- Unlined
- Cut out neckline
- Regular fit
- Viscose blend",Black,"55% Viscose, 31% Polyester, 14% Polyamide"
2222,ZALORA BASICS,Basic Oversized Polo Neck Jumper,S$ 34.90,"- Solid tone knit jumper
- High neckline
- Unlined
- Relaxed fit
- Slip on style
- Polyester",Dusty Pink,100% Polyester
2223,A-IN GIRLS,Ethnic Wind Color Knit Sweater,S$ 236.25,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","grey,beige",100% Cotton
2224,Zalia,Bishop Sleeve Knit Top,S$ 29.90,"- Solid tone belted knitted ribbed top
- Round neckline
- Slim fit
- Belt fastening
- Polyblend",Beige,"95% Polyester, 5% Spandex"
2225,GAP,Crew Neck Pullover,S$ 66.90,"- Knitted pullover with contrasting stripes
- Crew neckline
- Unlined
- Regular fit
- Slip on
- Cotton
- Model wears an S and is 175cm tall",Black Stripe,100% Cotton
2226,FORCAST,Rosaline Knitted Cardigan,S$ 44.99,"- Solid shade button front knitted cardigan
- Round neckline
- Unlined
- Slim fit
- Front button fastening
- Viscose blend
- Model wears an S and is 180cm tall",Wine,"74% Viscose, 26% Nylon"
2227,ESPRIT,Sweaters Long Sleeve,S$ 69.95,"- Colourblock knitted jumper
- Sizing runs one size larger
- Round neckline
- Unlined
- Regular fit
- Modal blend
- Model wears an S and is 178cm tall",Light Blue,"50% MODAL,50% COTTON,"
2228,h:ours,Rayne Sweater(Revolve),S$ 168.00,"63% rayon 37% nylon
Dry clean only
Lightweight knit fabric
Thumbholes
Open back
Imported",Black,[]
2229,LPA,Crochet Crop Cardi(Revolve),S$ 197.00,"100% cotton
Hand wash cold
Exposed front button closure with keyhole accents
Back cut-outs
Open knit fabrication",White,[]
2230,ESPRIT,Crochet Short Sleeve Top,S$ 89.95,"- Solid shade knitted crochet top
- Sizing runs one size larger
- Round neckline
- Regular fit
- Slip-on style
- Short sleeves
- Ribbed hem & cuffs
- Viscose blend
- Model wears an S and is 175cm tall",Black,"84% Viscose, 16% Polyamide"
2231,DeFacto,DeFacto Woman Pullover,S$ 34.90,"DeFacto Woman Pullover
Gender: Female SubCatType: Cardigans & Knitwear Gender: Woman Material: Metal Fiber 15%, Acrylic 85% Main Material: Metal Fiber 15%, Acrylic 85% Interior Material: Without Material Leather Type: Metal Fiber 15%, Acrylic 85%",Beige,[]
2232,Zaryluq,Taj Cape In Black Onyx,S$ 49.00,- Inspiration from the traditional Dupatta- Made from Voile fabric- Drapes elegantly on the body- Features a scoop neck- Button-back collar- Gold tassels on all four edges,Black Onyx,Voile
2233,ZALORA,Tweed Cardigan,S$ 54.90,"- Tweed waist tie cardigan
- V-neckline
- Slim fit
- Button and waist tie fastening
- Polyester",Lilac/White,100% Polyester
2234,Hollister,Twist Back Sweater,S$ 58.00,"- Cable knit twisted back sweater
- Sizing runs one size larger
- Round neckline
- Unlined
- Regular fit
- Dropped shoulder seams
- Cotton blend
- Model wears an S and is 175cm tall",Grey,"60% Cotton, 20% Viscose, 20% Nylon"
2235,ESPRIT,Sweatshirts Long Sleeve,S$ 69.95,"- Semi knit texture top
- Sizing runs one size larger
- Round neckline
- Unlined
- Regular fit
- Slip on style
- Polyblend
- Model wears an S and is 174cm tall",NAVY,"60% POLYESTER,35% VISCOSE,5% ELASTANE,"
2236,Cotton On,Clara Collared Knit Pullover,S$ 39.99,"- Solid tone knitted collared pullover
- Scoop neckline
- Regular fit
- Slip on style
- Cotton blend
- Model wears an S and is 177cm tall",DUSTY BLUE,"60% Cotton, 40% Acrylic"
2237,Tularosa,Tomile Robe(Revolve),S$ 268.00,"100% poly
Hand wash cold
Knit fabric
Open front with waist tie
Imported",Beige,[]
2238,Dorothy Perkins,Petite Camel Button Detail Jum,S$ 39.90,"- Solid hue jumper with button detail
- Crew neckline
- Unlined
- Regular fit
- Viscose blend",LIGHT BROWN,"81% Viscose, 19% Nylon"
2239,[],[],[],[],[],[]
2240,ONLY,New Carle Long Sleeve Cardigan,S$ 59.00,"- Longline knitted cardigan with contrasting stripes
- Unlined
- Regular fit
- Slip on style
- Acrylic blend
- Model wears an S and is 177cm tall",Night Sky/Stripes:W. PICANTE/GOLDEN,"75% Acrylic, 25% Nylon"
2241,Something Borrowed,Polka Dot Drop Shoulder Sweater,S$ 39.90,"- Sweater with high-low hem
- Round neckline
- Regular fit
- Slip on style
- Polyester",Beige/Plum,100% Polyester
2242,ZALORA BASICS,Basic Front Tie Cardigan,S$ 29.90,"- Cropped cardigan with tie detail
- V-neckline
- Regular fit
- Front self-tie fastening
- Long flute sleeves
- Ruffled crop hem
- Polyester",Dusty Pink,100% Polyester
2243,Tularosa,Sandra Cardigan(Revolve),S$ 225.00,"60% cotton 40% viscose
Hand wash cold
Pointelle knit fabric
Front button closure
Scalloped cuffs
Imported",White,[]
2244,A-IN GIRLS,Fashion Lace Hooded Knit Jacket,S$ 261.45,"The latest Korean fashion hot selection
- Korean fashion, smart choice
- easy to match, fashion up to people
- hot new, to the tide to IN
- The product is manufactured differently depending on the supplier",grey,"53.5% Polyester Fiber, 30% Viscose, 16.5% Nylon"
2245,Mango,Modal-Blend Knit Jumper,S$ 45.90,"- Solid tone knit texture jumper
- Sizing runs one size larger
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Modal blend",Sand,"60% Modal, 40% Polyamide"
2246,Dorothy Perkins,Black Button Rib Top,S$ 29.90,"- Solid tone top with fake button detail
- Boat neckline
- Slim fit
- Slip on style
- Viscose blend
- Model wears a UK 8 and is 172cm tall",Black,"93% Viscose, 7% Elastane"
2247,Brave Soul,Oppy Short Sleeve Jumper,S$ 37.90,"- Solid tone short sleeve knit jumper
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Viscose blend
- Model wears an S and is 175cm tall",Navy,[]
2248,A-IN GIRLS,V-Neck Ruffled Knit Dress,S$ 261.45,"The Latest Korean Fashion Hot Selection

- Latest Fashion

- Easy Match

- Temperamental Lady

- The Product Is Manufactured Differently Depending On The Supplier",pink,Knitted Fabric
2249,JACQUELINE DE YONG,Julia Long Sleeve Knit Pullover,S$ 49.00,"- Two tone knitted pullover sweater
- Round neckline
- Regular fit
- Acrylic blend
- Model wears an S and is 177cm tall",Dark Grey Melange,"50% Acrylic, 25% Polyester, 15% Wool, 5% Elastane, 5% Nylon"
2250,Privacy Please,Aiden Sweater(Revolve),S$ 153.00,"Self: 96% cotton 4% elastaneContrast: 100% cotton
Hand wash cold
Knit fabric
Front button closure
Imported",Gray,[]
2251,Lovers + Friends,Sooki Dress(Revolve),S$ 225.00,"45% rayon 40% nylon 15% poly
Hand wash cold
Unlined
Rib knit fabric
Foldover neckline
Asymmetrical lettuce trim hem",Pink,[]
2252,Mango,Ribbed Sweater,S$ 49.90,"- Cable knit sweater with rib detail
- Sizing runs one size larger
- Round neckline
- Regular fit
- Slip-on style
- Long sleeves
- Polyester blend",Charcoal,"53% Polyester, 21% Acrylic, 20% Polyamide, 6% Wool"
2253,Free People,All Day Long V Jumper,S$ 125.90,"- Solid shade knitted pullover
- V-neckline
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Cotton blend
- Model wears an S and is 173cm tall",Brown,"58% Cotton, 39% Acrylic, 2% Nylon, 1 % Elastane"
2254,London Rag,Brown Turtle Neck Long Sleeve Knit Sweater,S$ 81.00,"Redefining winter wear with this modish design

- Full slevees, Turtle neck, knitted sweater.

- This sweater will keep you warm and is highly comfortable to wear. 

- This sweater can be paired with blue colored jeans and a pair of casual shoes.

- CL7370",Brown,[]
2255,ZALORA BASICS,Basic Cardigan,S$ 29.90,"- Long sleeve plain cardigan
- Unlined
- Round neckline
- Regular fit
- Button fastening
- Polyblend",Navy,72% Polyester 28% Nylon
2256,Glamorous,V Neck Knit Jumper,S$ 56.90,"- Solid tone fur effect jumper
- Unlined
- V neckline
- Relaxed fit
- Polyamide blend
- Model wears an S and is 175cm tall",Mustard,85% Polyamide 10% Viscose
2257,LPA,Barcelona Sweater(Revolve),S$ 225.00,"50% acrylic 45% nylon 5% lamb wool
Hand wash cold
Puff shoulders
Knit fabric
Imported",Black,[]
2258,ZALORA,Tweed Cardigan,S$ 54.90,"- Tweed waist tie cardigan
- V-neckline
- Slim fit
- Button and waist tie fastening
- Polyester",Black/White,100% Polyester
2259,A-IN GIRLS,Pattern Hollow Round Neck Sweater,S$ 183.75,"The latest Korean fashion hot selection
- Korean fashion, smart choice
- easy to match, fashion up to people
- hot new, to the tide to IN
- The product is manufactured differently depending on the supplier",white,Polyester Blended
2260,Calvin Klein,Calvin Klein Silk Blend Short Sleeve Tee,S$ 159.00,"Crafted from premium silk blend, this knit tee from Calvin Klein Jeans features a crew neck and short sleeves and a discreet paneled design. The ribbed neckline and hemline add to the comfortable fit. Finished with a subtle embroidered CK logo on the front.",CK BLACK,[]
2261,ONLY,Brielle Long Sleeve Pullover,S$ 59.00,"- Multicolour knitted jumper
- Round neckline
- Regular fit
- Acrylic blend
- Model wears an S and is 173cm tall",Lizard,[]
