web-scraper-order,web-scraper-start-url,link,link-href,title,price,color,description,material
"1573664956-2674","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN AIRism Bra Sleeveless Top","https://www.uniqlo.com/sg/store/women-airism-bra-sleeveless-top-4136590001.html","WOMEN AIRism Bra Sleeveless Top","S$29.90","Color: COL00 WHITE","Bra cups covered in AIRism fabric for a light feel. Breathable for greater comfort!
- Comfort features include moisture-wicking, DRY technology, heat release, Cool Touch, anti-microbial, anti-odor, and self-deodorization. 
- Stretch material is comfortable against the skin.
- Now with added durability, this top retains its smooth texture ever after repeated wash cycles. 
- Stays invisible under outer layers. 
- Soft bra cups maintain a natural silhouette. 
- Updated for a new season! Bra cups covered with AIRism fabric for a smoother feel. 
- Greater breathability. 
- Neckline adjusted so the collar doesn’t ride up. 
- Bra cup power netting with improved shape to create a more attractive bust line.


                            
                                                
                          
                              MATERIAL
                Shell, Lining: 59% Polyester, 31% Cupro, 10% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","Shell, Lining: 59% Polyester, 31% Cupro, 10% Spandex"
"1573665641-2942","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN 1*1 Ribbed Cotton Turtle Neck Long Sleeve T-Shirt","https://www.uniqlo.com/sg/store/women-11-ribbed-cotton-turtle-neck-long-sleeve-t-shirt-4182290007.html","WOMEN 1*1 Ribbed Cotton Turtle Neck Long Sleeve T-Shirt","S$9.90","Color: COL00 WHITE","Smooth and comfortable in a flattering turtleneck design.
- Made with low-nap compact cotton for a smooth feel.
- Newly updated with a fitted turtleneck design.
- The stretchy rib-knit creates a flattering fit at the waist and looks sleek tucked in.
- Features a basic, easy-to-coordinate design.


                            
                                                
                          
                              MATERIAL
                96% Cotton, 4% Spandex


                            
                              CARE
                Machine wash cold","96% Cotton, 4% Spandex"
"1573665374-2835","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","The Game Classic Pixels UT PAC-MAN (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/men-the-game-pixels-ut-short-sleeve-graphic-t-shirt-4208210005.html","The Game Classic Pixels UT PAC-MAN (Short Sleeve Graphic T-Shirt)","S$9.90","Color: COL00 WHITE","Please note that the sizing of this T-shirt is based on regular Men's sizes.

PAC-MAN

""PAC-MAN"" is a video game released in 1980 by BANDAI NAMCO Entertainment Inc. (previously NAMCO). This worldwide famous video game and character that represents Japan, has been and continues to be loved by people all around the world!

©BANDAI NAMCO Entertainment Inc.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573666026-3088","https://www.uniqlo.com/sg/store/women/outerwear/view-all-outerwear.html","WOMEN Stretch Jacket","https://www.uniqlo.com/sg/store/women-stretch-jacket-4201660013.html","WOMEN Stretch Jacket","S$129.90","Color: COL05 GRAY","A comfy stretch jacket, great for the office.
- Beautifully flowing rayon blend.
- Comfortable stretch fabric.


                            
                                                
                          
                              MATERIAL
                Shell: 69% Polyester, 29% Rayon, 2% Spandex/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 69% Polyester, 29% Rayon, 2% Spandex/ Lining: 100% Polyester"
"1573664939-2667","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN AIRism Sleeveless Top","https://www.uniqlo.com/sg/store/women-airism-sleeveless-top-4136610036.html","WOMEN AIRism Sleeveless Top","S$7.90","Color: COL11 PINK","AIRism's sleeveless top keeps you feeling fresh with cool, comfortable features.
- Dry feel even in sweaty situations for outstanding comfort.
- Now with added durability, this top retains its smooth texture ever after repeated wash cycles.
- Super smooth surface stays invisible under outer layers.
- Deep neckline stays hidden.


                            
                                                
                          
                              MATERIAL
                59% Nylon, 31% Cupro, 10% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","59% Nylon, 31% Cupro, 10% Spandex"
"1573665603-2927","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","The Brands Outdoor UT (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/men-the-brands-ut-short-sleeve-graphic-t-shirt-4234640001.html","The Brands Outdoor UT (Short Sleeve Graphic T-Shirt)","S$9.90","Color: COL00 WHITE","Please note that the sizing of this T-shirt is based on regular Men's sizes.

The Brands Outdoor

A collaboration project with brands using their representative outdoor items and logos as motifs.

© 2019 Helko Werk GmbH


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573665887-3032","https://www.uniqlo.com/sg/store/women/outerwear/view-all-outerwear.html","WOMEN Uniqlo U Padded Parka","https://www.uniqlo.com/sg/store/women-uniqlo-u-padded-parka-4210580012.html","WOMEN Uniqlo U Padded Parka","S$99.90","Color: COL08 DARK GRAY","Filled with plenty of cotton padding to get an on-trend, voluminous silhouette. You’ll also love how flexible it feels.
- The team of designers in Paris, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and designs that feel modern. 
- Padded parka that covers you all the way down to your hips. 
- Hood is conveniently detachable.


                            
                                                
                          
                              MATERIAL
                Shell: 65% Polyester, 35% Cotton/ Filling: 100% Polyester/ Body Lining: 100% Nylon/ Sleeve Lining: 100% Polyester/ Rib: 71% Polyester, 26% Cotton, 3% Spandex


                            
                              CARE
                Hand wash cold","Shell: 65% Polyester, 35% Cotton/ Filling: 100% Polyester/ Body Lining: 100% Nylon/ Sleeve Lining: 100% Polyester/ Rib: 71% Polyester, 26% Cotton, 3% Spandex"
"1573665026-2696","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN J.W.Anderson Cable Long Sleeve Dress","https://www.uniqlo.com/sg/store/women-j-w-anderson-cable-long-sleeve-dress-4216580004.html","WOMEN J.W.Anderson Cable Long Sleeve Dress","S$59.90","Color: COL30 NATURAL","The added cable-knitting makes the most out of the chunky yarn. Loose sleeves for an even trendier look.
- New LifeWear that combines UNIQLO’s focus on design, fit, fabric, and functionality with JW ANDERSON’s focus on traditional British apparel into innovative designs.
- Made with yarn that has been loosely twisted and feels handmade. 
- Alpaca-blend fabric for added warmth.


                            
                                                
                          
                              MATERIAL
                67% Acrylic, 25% Wool, 8% Alpaca


                            
                              CARE
                Hand wash cold","67% Acrylic, 25% Wool, 8% Alpaca"
"1573664691-2571","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN Short Socks 3 Pairs (Ribbed)","https://www.uniqlo.com/sg/store/women-short-socks-3-pairs-ribbed-4207260001.html","WOMEN Short Socks 3 Pairs (Ribbed)","S$14.90","Color: COL09 BLACK","Our discrete, no-show socks in a comfortable ribbed knit.
- Self-deodorizing feature.
- Sleek, short length.
- Fitted opening helps them stay put.
- Heel-hugging for a secure fit.


                            
                                                
                          
                              MATERIAL
                75% Cotton, 22% Nylon, 2% Spandex, 1% Polyester


                            
                              CARE
                Machine wash cold","75% Cotton, 22% Nylon, 2% Spandex, 1% Polyester"
"1573664830-2624","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN AIRism Ultra Seamless Shorts (High Rise Brief)","https://www.uniqlo.com/sg/store/women-airism-ultra-seamless-shorts-high-rise-brief-4196210006.html","WOMEN AIRism Ultra Seamless Shorts (High Rise Brief)","S$4.90","Color: COL68 Blue","Lovely feel and invisible seamless design. High-waisted for secure comfort.
- Designed with AIRism comfort features. 
- Seamless construction with cut-off fabric edges.
- AIRism fabric with a silky smooth texture. 
- Light, form-hugging material. 
- Seamless for gentle comfort against the skin. 
- Flat design stays invisible underneath bottoms.


                            
                                                
                          
                              MATERIAL
                71% Nylon, 29% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","71% Nylon, 29% Spandex"
"1573664973-2676","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Waffle Crew Neck 3/4 Sleeve Dress","https://www.uniqlo.com/sg/store/women-waffle-crew-neck-34-sleeve-dress-4220160014.html","WOMEN Waffle Crew Neck 3/4 Sleeve Dress","S$29.90","Color: COL01 OFF WHITE","This waffle dress looks great on its own or layered with leggings.
- Breathable, on-trend waffle material.
- Crew neck and 3/4-length sleeves.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573665993-3074","https://www.uniqlo.com/sg/store/women/outerwear/view-all-outerwear.html","WOMEN Pile Lined Fleece Crew Neck Cardigan","https://www.uniqlo.com/sg/store/women-pile-lined-fleece-crew-neck-cardigan-4182860013.html","WOMEN Pile Lined Fleece Crew Neck Cardigan","S$39.90","Color: COL01 OFF WHITE","Now in an on-trend sheepskin-style fleece. Layer under a coat for extra warmth.
- Newly updated with a soft sheepskin-style outer.
- Smooth micro fleece lining.
- Fleece material is warm, lightweight, and easy to wash.
- This collarless crew neck cardigan goes with any outfit.
- Casual button-up design.
- Great as a light outer layer, or worn under a coat for extra warmth.


                            
                                                
                          
                              MATERIAL
                100% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","100% Polyester"
"1573665107-2730","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN IDLF Rayon Printed Shirt Long Sleeve Dress","https://www.uniqlo.com/sg/store/women-idlf-rayon-printed-shirt-long-sleeve-dress-4227980004.html","WOMEN IDLF Rayon Printed Shirt Long Sleeve Dress","S$29.90","Color: COL69 NAVY","Our chic shirt dress with a low waist and a long, flowing cut.
- From our 2019 F/W Ines de la Fressange collaboration collection. Synonymous with the timeless appeal of Parisian chic.
- Classic open-collar design.
- The low waist and gathered panels make the dress flutter beautifully as you move.
- Front pleat has a flattering effect.
- Try wearing it as a light outer layer with the buttons undone.
- Hand-stitched look at the collar and cuffs adds a subtle design accent.


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573665760-2989","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN J.W.Anderson Flannel Checked Long Sleeve Tunic","https://www.uniqlo.com/sg/store/women-j-w-anderson-flannel-checked-long-sleeve-t-shirtunic-4220700002.html","WOMEN J.W.Anderson Flannel Checked Long Sleeve Tunic","S$39.90","Color: COL65 Blue","The British-style checkered pattern is eye catching. Larger silhouette for styling that feels trendy.
- New LifeWear that combines UNIQLO’s focus on design, fit, fabric, and functionality with JW ANDERSON’s focus on traditional British apparel into innovative designs.
- Relaxed silhouette that is tunic-length and feels trendy. 
- An item that can be styled in a trendy way without having to choose a pair of bottoms.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573665387-2840","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","Colour And Rhythm UT (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/men-colour-and-rhythm-ut-short-sleeve-graphic-t-shirt-4256440001.html","Colour And Rhythm UT (Short Sleeve Graphic T-Shirt)","S$9.90","Color: COL00 WHITE","Please note that the sizing of this T-shirt is based on regular Men's sizes.

Color & Rhythm

Carmen Herrera, Lygia Pape, and Hélio Oiticica were at the forefront of modern art in Latin America, using geometric shapes and colors to bring their work to life with energy and beauty.
Hélio Oiticica

One of the most influential artists in the twentieth century, Hélio Oiticica pioneered new aesthetic experiences that blurred the boundaries between life and art. Oiticica challenged traditional notions of art by making viewer participation essential in his work. His dynamic grid-like compositions on cardboard, suspended wooden structures, wearable objects, and large-scale multisensorial installations, have influenced generations of contemporary artists worldwide.

©César and Claudio Oiticica


                            
                                                
                          
                              MATERIAL
                Shell: 67% Polyester, 33% Wool/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 67% Polyester, 33% Wool/ Lining: 100% Polyester"
"1573665092-2723","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Uniqlo U 3D Extra Fine Merino Mock Neck Dress","https://www.uniqlo.com/sg/store/women-uniqlo-u-3d-extra-fine-merino-mock-neck-dress-4209450009.html","WOMEN Uniqlo U 3D Extra Fine Merino Mock Neck Dress","S$49.90","Color: COL09 BLACK","The fabric and silhouette have a beautiful, high-quality feel and design that is simple, yet on-trend.
- The team of designers in Paris, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and designs that feel modern. 
- Made with Extra Fine Merino wool that is ultra-fine at only 19.5 microns. 
- Smooth and crisp-looking with a comfortable, soft texture.


                            
                                                
                          
                              MATERIAL
                100% Wool


                            
                              CARE
                Hand wash cold","100% Wool"
"1573665171-2755","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Colour And Rhythm UT (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/women-colour-and-rhythm-utshort-sleeve-graphic-t-shirt-4231590004.html","WOMEN Colour And Rhythm UT (Short Sleeve Graphic T-Shirt)","S$19.90","Color: COL55 GREEN","Color & Rhythm

Carmen Herrera, Lygia Pape, and Hélio Oiticica were at the forefront of modern art in Latin America, using geometric shapes and colors to bring their work to life with energy and beauty.
About MoMA

The Museum of Modern Art in New York City is the world's home for modern and contemporary art. Founded in 1929, MoMA was the first museum dedicated to new art and this bold, experimental vision continues to guide us today. We share the most thought-provoking and resonant works, from painting to performance, and are a place of creativity and inspiration for all.
Carmen Herrera

Carmen Herrera (b. 1915, Havana Cuba) is a painter, sculptor, and master of crisp lines and contrasting chromatic planes. Herrera's lifetime of work has established, quietly but steadily, an important cross-cultural dialogue within the international history of modern abstraction.

Project: 2019 by The Museum of Modern Art
©Carmen Herrera


                            
                                                
                          
                              MATERIAL
                Shell: 67% Polyester, 33% Wool/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 67% Polyester, 33% Wool/ Lining: 100% Polyester"
"1573666046-3096","https://www.uniqlo.com/sg/store/women/outerwear/view-all-outerwear.html","WOMEN Double Face Cocoon Coat","https://www.uniqlo.com/sg/store/women-double-face-cocoon-coat-4202280007.html","WOMEN Double Face Cocoon Coat","S$59.90","Color: COL02 LIGHT GRAY","Brushed fabric with a soft feel and an on-trend cut.
- Newly updated with double-faced wool that's luxuriously soft.
- Flattering cocoon silhouette.
- Versatile new design with a tasteful, tailored look.


                            
                                                
                          
                              MATERIAL
                40% Wool, 35% Polyester, 25% Nylon


                            
                              CARE
                Dry Clean","40% Wool, 35% Polyester, 25% Nylon"
"1573665811-3010","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Premium Linen 3/4 Sleeve Kurta Tunic","https://www.uniqlo.com/sg/store/women-premium-linen-34-sleeve-kurta-tunic-4219780018.html","WOMEN Premium Linen 3/4 Sleeve Kurta Tunic","S$59.90","Color: COL01 OFF WHITE","A-shaped silhouettes made with fine linen for a cool, refined feel. It’s floaty and flirty.
- Made from a linen fabric that provides a cool, refreshing feeling. 
- The Pintucking under the arms adds a nice design. 
- Airy and soft A-shaped silhouette.

The KURTA Concept is a collection focused on cloth dresses and tunics that have been designed and developed for the India Opening in October of 2019. This is a modern design that takes inspiration from the ‘Kurat’, an item of traditional Indian clothing that also inspires customers from all over the world to wear LifeWear. These products were made in cooperation with Rina Singh, a female designer from India. 

Rina Singh

 was born in Saharanpuru, India, in 1976. After graduating from a Fashion School in India, she studied abroad in England and then at the National Fashion Institute of Technology. She established her own label in 2011. A collection of hand-crafted, hand-woven traditional Indian fabrics, dyes, prints, and embroideries are being presented in Paris and New York.


                            
                                                
                          
                              MATERIAL
                100% Linen


                            
                              CARE
                Machine wash cold, gentle cycle","100% Linen"
"1573665348-2825","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","MICKEY ART UT (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/men-mickey-art-ut-short-sleeve-graphic-t-shirt-4208270001.html","MICKEY ART UT (Short Sleeve Graphic T-Shirt)","S$9.90","Color: COL63 Blue","Please note that the sizing of this T-shirt is based on regular Men's sizes.

MICKEY ART

UNIQLO has invited acclaimed artists and illustrators to reinterpret the famous character in their own distinct style. It's Mickey like you've never seen him before, with new and original artwork exclusively at UNIQLO.

Yoon Hyup

Born in Seoul, Yoon Hyup is an artist based in New York City. His works are influenced by skateboarding, improvisation music and urban culture. He combines these inspirations with individual lines and dots, using a freehand style, and creates his own unique abstract paintings.

©Disney


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573664687-2570","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN HEATTECH Knitted Tights (Ribbed)","https://www.uniqlo.com/sg/store/women-heattech-knitted-tights-ribbed-4207610007.html","WOMEN HEATTECH Knitted Tights (Ribbed)","S$19.90","Color: COL08 DARK GRAY","Warm HEATTECH knit tights, perfect for layered looks.
- With deodorizing, bio-warming, insulating, anti-microbial, anti-odor, and moisturizing comfort features.
- Versatile solid rib knit.
- Heel-hugging for a secure fit.


                            
                                                
                          
                              MATERIAL
                68% Acrylic, 27% Nylon, 3% Wool, 2% Spandex


                            
                              CARE
                Machine wash cold","68% Acrylic, 27% Nylon, 3% Wool, 2% Spandex"
"1573664910-2656","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN Wireless Bra (Relax) (Heather)","https://www.uniqlo.com/sg/store/women-wireless-bra-relax-heather-4196160007.html","WOMEN Wireless Bra (Relax) (Heather)","S$29.90","Color: COL09 BLACK","Seamless design with integrated cups for a superb fit. Natural lines plus support.
- Seamless design supports without constricting. 
- Stretchy feel and bonded construction provides a secure fit even with active movement. 
- Contoured, integrated cups. 
- This seamless bra stays invisible under an outer layer. 
- Pairs great with our ultra seamless briefs.


                            
                                                
                          
                              MATERIAL
                Body: 77% Nylon, 23% Spandex/ Lining: 87% Polyester, 13% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","Body: 77% Nylon, 23% Spandex/ Lining: 87% Polyester, 13% Spandex"
"1573664948-2671","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN AIRism Bra Sleeveless Top (Heather)","https://www.uniqlo.com/sg/store/women-airism-bra-sleeveless-top-heather-4136690004.html","WOMEN AIRism Bra Sleeveless Top (Heather)","S$29.90","Color: COL02 LIGHT GRAY","AIRism in the bra cups keeps you dry. More breathable for greater comfort.
- Comfort features include moisture-wicking, DRY technology, heat-release, Cool Touch, anti-microbial/anti-odor, and deodorizing.
- Stretch material is comfortable against the skin.
- Smooth, dry feel for lasting comfort even in sweaty situations.
- The softener used for the finish is now more durable, ensuring it stays smooth even with repeated washing.
- Smooth texture means no visible lines.
- Soft bra cups shape an attractive, natural bustline.
- Newly updated with AIRism in the bra cups for a smoother texture.
- The bra cups are now more breathable, to keep you more comfortable.
- Shoulder strap adjusters ensure a perfect fit.


                            
                                                
                          
                              MATERIAL
                Shell, Lining: 59% Polyester, 31% Cupro, 10% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","Shell, Lining: 59% Polyester, 31% Cupro, 10% Spandex"
"1573665768-2992","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Rayon Bow Tie Long Sleeve Blouse","https://www.uniqlo.com/sg/store/women-rayon-bow-tie-long-sleeve-blouse-4262060001.html","WOMEN Rayon Bow Tie Long Sleeve Blouse","S$29.90","Color: COL00 WHITE","Smooth and elegant material makes it easy for you to use it for both casual and formal occasions. Wrinkle-resistant for easy care.
- Easy care that is wrinkle-resistant even after washing.
- Bow tie design that feels trendy. 
- V-neck design makes it easy to style beautifully even with the tie loosened.


                            
                                                
                          
                              MATERIAL
                76% Rayon, 24% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","76% Rayon, 24% Polyester"
